User Rating Count,Size,Subtitle_Available,Free_Price,Age_Rating,Description_Length,Genres_Count,Language_EN,Languages_Count,In_App_Count,In_App_Max
1242.0,98791424.0,1,1,12,2569,4,1,1,10,19.99
954.0,44658688.0,1,0,4,1505,4,1,1,0,0.0
3757.0,2512028672.0,1,1,12,1853,4,1,4,6,99.99
1659.0,50151424.0,1,0,4,2620,3,1,25,6,4.99
46.0,281683968.0,0,1,4,3635,4,1,1,5,3.99
711.0,28918784.0,0,1,9,1005,4,1,1,1,0.99
6.0,25778131.0,0,1,4,1933,4,1,1,0,0.0
5.0,23946240.0,1,1,4,591,4,1,1,0,0.0
81.0,1151950848.0,0,1,4,1498,4,1,1,1,4.99
13.0,101616640.0,1,1,4,951,3,1,2,4,9.99
762.0,112629760.0,1,1,4,344,4,1,1,0,0.0
200.0,2651122.0,0,1,4,935,4,1,1,0,0.0
1517.0,353299456.0,1,1,4,3110,4,1,3,10,99.99
52.0,49868800.0,0,1,4,486,3,1,8,10,3.99
17.0,8047616.0,0,0,4,1255,3,1,1,0,0.0
6.0,347042816.0,1,1,12,1016,4,1,1,10,99.99
17.0,25468928.0,0,1,12,358,3,1,16,0,0.0
12.0,80910336.0,0,1,4,1495,3,1,1,3,39.99
24.0,1034724352.0,0,1,9,1254,2,1,16,10,4.99
710.0,523978752.0,1,1,12,1073,4,1,111,10,29.99
75.0,278671360.0,1,1,12,3307,3,1,13,10,23.99
6.0,15980544.0,1,1,12,2791,5,1,1,2,4.99
385.0,106068992.0,0,0,12,1704,3,1,1,0,0.0
9.0,149651456.0,0,1,4,176,4,1,1,1,2.99
3593.0,170680320.0,0,0,4,1624,4,1,1,0,0.0
113.0,204593152.0,1,0,12,2807,4,1,1,2,2.99
203.0,8246272.0,0,0,4,3073,3,1,3,0,0.0
11.0,35995648.0,0,1,4,337,4,1,1,1,2.99
6.0,22807552.0,1,1,4,314,3,1,3,0,0.0
12.0,91698176.0,1,1,4,286,2,1,1,0,0.0
51.0,60112896.0,0,1,12,547,5,1,1,0,0.0
10.0,196901888.0,0,1,12,1008,5,1,14,7,99.99
54.0,37716597.0,0,1,4,1445,4,1,1,8,49.99
21125.0,112662528.0,1,1,9,1278,5,1,1,10,19.99
41.0,107885568.0,0,1,9,1726,3,1,1,0,0.0
97.0,462442496.0,1,1,4,3594,4,1,1,10,99.99
6.0,25418752.0,0,1,4,808,4,1,1,0,0.0
4180.0,167113728.0,1,1,12,4164,2,1,4,8,99.99
